content_id,client_id,action_rank,predicted_decline_probability,action_label,reason_code,impressions_90d,content_age_days,avg_position,days_since_last_update,content_type,main_intent
content_fb03de774c31,client_7f2253d7e2,55,0.7654,refresh_now,model_flagged,573,169,14.2,20,keyword article,
content_b4f35d640b1c,client_3fdba35f04,56,0.7654,refresh_now,high_visibility,3867,131,27.5,104,keyword article,commercial
content_b16659c4fc39,client_7f2253d7e2,57,0.7652,refresh_now,model_flagged,333,169,16.6,20,keyword article,
content_9e93722afbc5,client_3fdba35f04,58,0.765,refresh_now,model_flagged,840,284,12.3,104,keyword article,commercial
content_e76ac7fed711,client_3fdba35f04,59,0.765,refresh_now,model_flagged,1877,139,5.8,104,keyword article,commercial
content_6af4dbfe0470,client_3fdba35f04,60,0.7649,refresh_now,model_flagged,496,165,10.7,104,keyword article,informational
content_2744dcacbe42,client_3fdba35f04,61,0.7649,refresh_now,model_flagged,353,165,3.6,104,keyword article,informational
content_d4c50bd49b5d,client_3fdba35f04,62,0.7648,refresh_now,model_flagged,625,165,8.1,104,keyword article,commercial
content_141690bd0376,client_7f2253d7e2,63,0.7647,refresh_now,model_flagged,1034,169,5.3,20,keyword article,
content_956fa666a622,client_3fdba35f04,64,0.7646,refresh_now,model_flagged,179,165,17.2,104,keyword article,informational
content_f4de869ba53d,client_7f2253d7e2,65,0.7645,refresh_now,model_flagged,356,172,15.0,20,keyword article,
content_b097f82390f2,client_3fdba35f04,66,0.7645,refresh_now,model_flagged,349,264,34.4,104,keyword article,commercial
content_184165640010,client_3fdba35f04,67,0.7645,refresh_now,high_visibility,3967,165,29.9,104,keyword article,informational
content_598fc61cbd75,client_6208ef0f77,68,0.7644,refresh_now,model_flagged,106,229,22.6,104,keyword article,
content_964dd0100c99,client_7f2253d7e2,69,0.764,refresh_now,high_visibility,41078,141,22.2,20,keyword article,informational
content_a10924bced3d,client_3fdba35f04,70,0.764,refresh_now,model_flagged,165,263,4.1,104,keyword article,transactional
content_59b7653b71eb,client_7f2253d7e2,71,0.764,refresh_now,model_flagged,661,169,13.3,20,keyword article,
content_16565406952d,client_7f2253d7e2,72,0.7638,refresh_now,model_flagged,275,172,15.7,20,keyword article,
